"Longitude","Latitude","Grid","anomaly_temp","anomaly_prec"
-91.2,41.2,3985,-148.777312278748,57
-91.2,39.2,3986,-156.225531578064,-35
-91.2,37.2,3987,-164.896291732788,-4
-91.2,35.2,3988,-188.997438430786,16
-91.2,33.2,3989,-203.311906814575,79
-91.2,31.2,3990,-212.531364440918,206
-91.2,17.2,3997,-268.697864532471,197
-89.2,49.2,4071,-66.5131978690624,-116
-89.2,45.2,4073,-100.350833415985,-19
-89.2,43.2,4074,-126.467010498047,46
-89.2,41.2,4075,-143.148926734924,-12
-89.2,39.2,4076,-159.265041351318,-2
-89.2,37.2,4077,-171.256614685059,-40
-89.2,35.2,4078,-181.638312339783,-30
-89.2,33.2,4079,-191.534738540649,52
-89.2,31.2,4080,-207.420854568481,114
-89.2,29.2,4081,-217.286949157715,8
-89.2,21.2,4085,-259.198146820068,142
-89.2,19.2,4086,-264.545948028565,-5
-89.2,17.2,4087,-262.141864776611,473
-87.2,49.2,4161,-64.5764791965485,-111
-87.2,41.2,4165,-139.283177375793,-28
-87.2,39.2,4166,-155.278979301453,-27
-87.2,37.2,4167,-170.262270927429,-55
-87.2,35.2,4168,-170.536603927612,-46
-87.2,33.2,4169,-187.557636260986,-10
-87.2,31.2,4170,-200.762239456177,72
-87.2,21.2,4175,-253.72491645813,96
-85.2,49.2,4251,-63.5194895863533,-80
-85.2,45.2,4253,-116.233937740326,-90
-85.2,43.2,4254,-129.071791648865,-51
-85.2,41.2,4255,-138.63587474823,-60
-85.2,39.2,4256,-150.858968734741,-62
-85.2,37.2,4257,-164.572666168213,-99
-85.2,35.2,4258,-165.242104530335,-63
-85.2,33.2,4259,-180.927707672119,-70
-85.2,31.2,4260,-208.15312576294,-9
-85.2,15.2,4268,-237.597885131836,-120
-85.2,13.2,4269,-244.688177108765,-658
-83.2,49.2,4341,-67.4333854317665,-107
-83.2,47.2,4342,-80.7402291297913,-88
-83.2,43.2,4344,-129.093416690826,-54
-83.2,41.2,4345,-142.244572639465,-72
-83.2,39.2,4346,-150.849249839783,-92
-83.2,37.2,4347,-157.460385322571,-132
-83.2,35.2,4348,-143.303864479065,-165
-83.2,33.2,4349,-192.782968521118,-80
-83.2,31.2,4350,-208.0046043396,-49
-83.2,9.2,4361,-206.727947235107,-1009
-81.2,49.2,4431,-70.4272812008858,-127
-81.2,47.2,4432,-80.9500207901001,-171
-81.2,43.2,4434,-117.827562332153,-31
-81.2,41.2,4435,-134.813031196594,-104
-81.2,39.2,4436,-149.650343894958,-140
-81.2,37.2,4437,-140.371844291687,-132
-81.2,35.2,4438,-177.840427398682,-149
-81.2,33.2,4439,-198.254739761353,-94
-81.2,29.2,4441,-222.993291854858,-45
-81.2,27.2,4442,-231.410531997681,-53
-79.2,51.2,4520,-63.6108854413033,-112
-79.2,49.2,4521,-67.6884687840939,-122
-79.2,47.2,4522,-90.3928644657135,-102
-79.2,45.2,4523,-105.253489494324,-95
-79.2,41.2,4525,-122.644166946411,-161
-79.2,39.2,4526,-121.460531234741,-227
-79.2,37.2,4527,-165.563115119934,-119
-79.2,35.2,4528,-183.224926948547,-118
-79.2,33.2,4529,-195.94206237793,-91
