"Longitude","Latitude","Grid","anomaly_temp","anomaly_prec"
-95.2,29.2,3811,-220.376054763794,116
-95.2,17.2,3817,-256.767021179199,678
-93.2,37.2,3897,-163.832010269165,42
-93.2,35.2,3898,-187.363041877747,42
-93.2,33.2,3899,-203.835823059082,87
-93.2,31.2,3900,-212.519865036011,134
-93.2,17.2,3907,-237.508905410767,253
-91.2,39.2,3986,-156.225531578064,-35
-91.2,37.2,3987,-164.896291732788,-4
-91.2,35.2,3988,-188.997438430786,16
-91.2,33.2,3989,-203.311906814575,79
-91.2,31.2,3990,-212.531364440918,206
-91.2,17.2,3997,-268.697864532471,197
-91.2,15.2,3998,-201.566802978516,580
-91.2,-0.8,4006,-237.384538650513,-615
-89.2,37.2,4077,-171.256614685059,-40
-89.2,35.2,4078,-181.638312339783,-30
-89.2,33.2,4079,-191.534738540649,52
-89.2,31.2,4080,-207.420854568481,114
-89.2,29.2,4081,-217.286949157715,8
-89.2,21.2,4085,-259.198146820068,142
-89.2,19.2,4086,-264.545948028565,-5
-89.2,17.2,4087,-262.141864776611,473
-89.2,15.2,4088,-261.098114013672,316
-87.2,37.2,4167,-170.262270927429,-55
-87.2,35.2,4168,-170.536603927612,-46
-87.2,33.2,4169,-187.557636260986,-10
-87.2,31.2,4170,-200.762239456177,72
-87.2,21.2,4175,-253.72491645813,96
-87.2,15.2,4178,-239.43071937561,-40
-87.2,13.2,4179,-279.411344528198,-357
-85.2,39.2,4256,-150.858968734741,-62
-85.2,37.2,4257,-164.572666168213,-99
-85.2,35.2,4258,-165.242104530335,-63
-85.2,33.2,4259,-180.927707672119,-70
-85.2,31.2,4260,-208.15312576294,-9
-85.2,15.2,4268,-237.597885131836,-120
-85.2,13.2,4269,-244.688177108765,-658
-85.2,11.2,4270,-264.61323928833,-375
-83.2,39.2,4346,-150.849249839783,-92
-83.2,37.2,4347,-157.460385322571,-132
-83.2,35.2,4348,-143.303864479065,-165
-83.2,33.2,4349,-192.782968521118,-80
-83.2,31.2,4350,-208.0046043396,-49
-83.2,9.2,4361,-206.727947235107,-1009
-81.2,39.2,4436,-149.650343894958,-140
-81.2,35.2,4438,-177.840427398682,-149
-81.2,33.2,4439,-198.254739761353,-94
-81.2,29.2,4441,-222.993291854858,-45
-81.2,27.2,4442,-231.410531997681,-53
-81.2,-4.8,4458,-227.940574645996,-2
-79.2,39.2,4526,-121.460531234741,-227
-79.2,37.2,4527,-165.563115119934,-119
-79.2,35.2,4528,-183.224926948547,-118
-79.2,33.2,4529,-195.94206237793,-91
-79.2,9.2,4541,-247.193313598633,-893
-79.2,-0.8,4546,-235.523687362671,-353
-77.2,39.2,4616,-155.861573219299,-115
-77.2,37.2,4617,-173.328858375549,-72
-77.2,35.2,4618,-185.642416000366,-62
-77.2,21.2,4625,-254.367958068848,175
-77.2,7.2,4632,-263.883083343506,-480
-77.2,5.2,4633,-248.766260147095,-2549
-77.2,3.2,4634,-258.884000778198,-2666
-77.2,-0.8,4636,-244.61040687561,33
-77.2,-2.8,4637,-257.37652015686,-324
-77.2,-4.8,4638,-267.02837562561,-850
-75.2,9.2,4721,-263.392656326294,-247
-75.2,7.2,4722,-232.922500610352,-1239
-75.2,5.2,4723,-134.228833198547,-243
-75.2,3.2,4724,-270.932666778565,145
-75.2,1.2,4725,-258.441144943237,-169
-75.2,-0.8,4726,-260.519790649414,-71
-75.2,-2.8,4727,-260.248052597046,-26
-75.2,-4.8,4728,-267.253082275391,-193
-75.2,-6.8,4729,-270.106229782104,-343
-75.2,-8.8,4730,-263.279230117798,-354
-73.2,11.2,4810,-280.239828109741,-1030
-73.2,7.2,4812,-249.792728424072,73
-73.2,5.2,4813,-161.444645881653,571
-73.2,3.2,4814,-270.495780944824,-46
-73.2,1.2,4815,-271.882646560669,-51
-73.2,-0.8,4816,-265.168041229248,-363
-73.2,-2.8,4817,-263.946395874023,-259
-73.2,-4.8,4818,-264.876176834106,-479
-73.2,-6.8,4819,-264.369459152222,-286
-73.2,-8.8,4820,-265.579469680786,-151
-73.2,-10.8,4821,-271.414489746094,25
-73.2,-38.8,4835,-127.695979118347,257
-71.2,7.2,4902,-268.258937835693,-70
-71.2,5.2,4903,-270.295301437378,454
-71.2,3.2,4904,-274.525363922119,-135
-71.2,1.2,4905,-268.919988632202,-140
-71.2,-0.8,4906,-263.031448364258,-188
-71.2,-2.8,4907,-261.639760971069,-34
-71.2,-4.8,4908,-262.896083831787,-43
-71.2,-6.8,4909,-263.729604721069,-112
-71.2,-8.8,4910,-266.241094589233,-114
-71.2,-10.8,4911,-264.413457870483,196
-71.2,-12.8,4912,-250.007385253906,113
-71.2,-28.8,4920,-152.655624389648,-3
-71.2,-30.8,4921,-157.272083282471,45
-71.2,-32.8,4922,-150.418937683105,65
-71.2,-34.8,4923,-152.670520782471,182
-71.2,-38.8,4925,-99.3539686203003,349
-71.2,-40.8,4926,-81.3238644599915,206
-71.2,-42.8,4927,-61.5137605667114,180
-71.2,-46.8,4929,-69.1578960418701,21
-71.2,-48.8,4930,-78.9622707366943,16
-71.2,-50.8,4931,-72.7483539581299,18
-69.2,19.2,4986,-252.034532546997,221
-69.2,11.2,4990,-260.088687896729,-81
-69.2,9.2,4991,-283.759677886963,147
-69.2,7.2,4992,-284.868312835693,190
-69.2,5.2,4993,-280.500228881836,-258
-69.2,3.2,4994,-267.753749847412,-98
-69.2,1.2,4995,-261.303426742554,-12
-69.2,-0.8,4996,-258.452188491821,-156
-69.2,-2.8,4997,-258.874542236328,-88
-69.2,-4.8,4998,-262.923728942871,-140
-69.2,-6.8,4999,-265.393198013306,32
-69.2,-8.8,5000,-258.342802047729,-117
-69.2,-10.8,5001,-262.136489868164,30
-69.2,-12.8,5002,-266.742416381836,190
-69.2,-14.8,5003,-49.1834478378296,171
-69.2,-16.8,5004,-102.690864562988,-103
-69.2,-26.8,5009,-64.2050311565399,20
-69.2,-28.8,5010,-65.8956875801086,29
-69.2,-32.8,5012,-96.8733959197998,23
-69.2,-34.8,5013,-119.429573059082,89
-69.2,-36.8,5014,-111.9407081604,100
-69.2,-38.8,5015,-143.06796836853,14
-69.2,-40.8,5016,-102.160135269165,49
-69.2,-42.8,5017,-100.329812049866,54
-69.2,-44.8,5018,-116.359760284424,29
-69.2,-46.8,5019,-128.692271232605,60
-69.2,-48.8,5020,-106.000166893005,30
-69.2,-50.8,5021,-85.2021560668945,26
-67.2,9.2,5081,-279.65246963501,284
-67.2,7.2,5082,-286.357301712036,368
-67.2,5.2,5083,-270.422386169434,-19
-67.2,3.2,5084,-269.083478927612,466
-67.2,1.2,5085,-269.406707763672,96
-67.2,-0.8,5086,-263.001104354858,-382
-67.2,-2.8,5087,-258.703792572021,-165
-67.2,-4.8,5088,-261.927635192871,-27
-67.2,-6.8,5089,-266.199947357178,-237
-67.2,-8.8,5090,-271.411333084106,58
-67.2,-10.8,5091,-273.145217895508,-70
-67.2,-12.8,5092,-277.93902015686,225
-67.2,-14.8,5093,-259.198854446411,235
-67.2,-18.8,5095,-118.06969833374,-75
-67.2,-20.8,5096,-115.955541610718,-25
-67.2,-22.8,5097,-56.9721875190735,12
-67.2,-28.8,5100,-144.682437896728,31
-67.2,-30.8,5101,-194.400760650635,78
-67.2,-32.8,5102,-185.881010055542,23
-67.2,-34.8,5103,-171.826229095459,-34
-67.2,-36.8,5104,-158.552000045776,-15
-67.2,-38.8,5105,-147.373615264893,-9
-67.2,-40.8,5106,-131.61266708374,12
-67.2,-42.8,5107,-136.144989967346,42
-67.2,-44.8,5108,-129.246864318848,36
-67.2,-46.8,5109,-119.587641716003,39
-67.2,-48.8,5110,-109.547248840332,29
-65.2,9.2,5171,-276.166656494141,265
-65.2,7.2,5172,-282.047302246094,115
-65.2,5.2,5173,-221.457738876343,-500
-65.2,3.2,5174,-265.135927200317,-47
-65.2,1.2,5175,-246.400417327881,-215
-65.2,-0.8,5176,-266.488353729248,-314
-65.2,-2.8,5177,-267.320655822754,-239
-65.2,-4.8,5178,-268.570062637329,-340
-65.2,-6.8,5179,-267.817176818848,208
-65.2,-8.8,5180,-273.899187088013,48
-65.2,-10.8,5181,-276.148187637329,295
-65.2,-12.8,5182,-280.206604003906,164
-65.2,-14.8,5183,-272.230770111084,123
-65.2,-16.8,5184,-265.489770889282,461
-65.2,-20.8,5186,-172.188354492188,-29
-65.2,-22.8,5187,-110.325135231018,45
-65.2,-24.8,5188,-183.507749557495,56
-65.2,-26.8,5189,-198.509937286377,10
-65.2,-28.8,5190,-207.83306312561,76
-65.2,-30.8,5191,-198.9625415802,29
-65.2,-32.8,5192,-169.248073577881,20
